0,3,12,1
1,17,12,0
2,23,9,0
3,34,11,1
4,47,11,0
5,54,12,1
6,66,16,1
7,75,7,1
8,86,6,1
9,94,8,0
10,107,9,1
11,115,14,1
12,123,15,0
13,3,32,0
14,15,32,1
15,26,34,1
16,33,34,0
17,42,34,1
18,53,25,1
19,64,32,1
20,74,32,0
21,85,34,0
22,95,28,1
23,104,25,1
24,113,31,1
25,125,34,1
26,3,48,0
27,15,46,1
28,26,50,1
29,36,54,0
30,48,50,0
31,54,46,1
32,64,54,0
33,75,44,1
34,88,49,1
35,98,50,1
36,103,54,1
37,115,47,1
38,127,49,1
39,6,75,1
40,15,75,1
41,27,73,0
42,36,73,1
43,47,68,1
44,54,72,1
45,66,68,1
46,74,67,1
47,85,65,1
48,94,74,1
49,107,65,0
50,117,65,1
51,125,68,1
52,6,84,1
53,13,95,0
54,25,94,1
55,37,84,1
56,47,87,1
57,53,95,1
58,63,86,0
59,77,93,1
60,83,89,1
61,94,95,1
62,103,92,1
63,115,95,0
64,123,93,0
65,7,114,1
66,15,111,1
67,24,112,1
68,36,108,1
69,43,112,0
70,56,105,1
71,64,112,1
72,73,112,1
73,86,107,1
74,98,108,1
75,104,113,1
76,117,115,0
77,126,109,1
78,6,127,0
79,17,125,1
80,27,134,1
81,35,126,0
82,44,131,1
83,54,132,1
84,63,124,1
85,77,127,0
86,82,134,1
87,96,128,1
88,103,126,1
89,116,130,1
90,126,134,1
91,7,152,1
92,16,147,1
93,24,153,1
94,35,151,1
95,45,154,1
96,55,146,1
97,63,155,1
98,75,151,1
99,87,154,1
100,93,156,1
101,104,151,0
102,117,153,1
103,127,148,1
104,3,164,1
105,16,172,1
106,25,165,1
107,35,175,1
108,44,169,1
109,53,174,1
110,64,168,1
111,76,171,1
112,87,173,1
113,95,174,1
114,106,168,1
115,114,169,0
116,125,169,1
117,3,190,0
118,16,188,1
119,25,195,1
120,37,186,1
121,44,189,1
122,54,194,1
123,66,192,0
124,77,192,1
125,85,188,1
126,93,185,1
127,106,192,1
128,113,193,1
129,125,195,1
130,5,207,1
131,15,213,1
132,24,209,1
133,33,214,0
134,43,206,1
135,53,211,0
136,64,213,0
137,74,212,0
138,84,212,1
139,94,209,1
140,104,215,1
141,115,206,1
142,127,209,1
143,6,229,1
144,13,227,1
145,26,235,1
146,34,225,1
147,43,227,1
148,55,225,1
149,67,229,0
150,75,234,1
151,87,230,1
152,95,235,1
153,105,228,0
154,117,225,0
155,127,230,1
156,6,249,1
157,15,246,1
158,26,255,1
159,33,246,1
160,47,248,1
161,58,252,1
162,65,248,1
163,73,247,1
164,87,249,1
165,94,245,1
166,104,256,1
167,113,246,1
168,125,253,1
169,5,266,1
170,16,274,0
171,24,267,1
172,37,266,1
173,45,267,1
174,54,266,0
175,67,267,1
176,74,265,1
177,87,264,1
178,95,271,1
179,106,264,1
180,116,271,0
181,127,273,1
182,7,287,1
183,17,294,0
184,23,287,1
185,33,284,1
186,43,288,1
187,53,295,1
188,67,288,1
189,73,286,1
190,87,293,1
191,94,284,1
192,104,291,1
193,114,294,1
194,127,290,1
