0,5300,1965,1
1,7275,1965,1
2,12450,1965,1
3,14425,1965,1
4,4118,2275,1
5,4743,2275,1
6,5935,2275,1
7,6560,2275,1
8,11268,2275,1
9,11893,2275,1
10,13085,2275,1
11,13710,2275,1
12,14425,2590,1
13,12450,2590,1
14,10250,2675,1
15,7275,2590,1
16,5300,2590,1
17,3100,2675,1
18,5300,2760,0
19,7275,2760,0
20,12450,2760,1
21,14425,2760,1
22,13710,3075,1
23,13085,3075,1
24,11893,3075,1
25,11268,3075,0
26,6560,3075,1
27,5935,3075,0
28,4743,3075,1
29,4118,3075,1
30,5300,3385,1
31,7275,3385,0
32,12450,3385,1
33,14425,3385,1
34,14425,4515,1
35,12450,4515,1
36,7275,4515,1
37,5300,4515,1
38,4118,4825,1
39,4743,4825,1
40,5935,4825,1
41,6560,4825,1
42,11268,4825,1
43,11893,4825,1
44,13085,4825,1
45,13710,4825,0
46,14425,5140,0
47,12450,5140,1
48,10250,5225,1
49,7275,5140,1
50,5300,5140,0
51,3100,5225,1
52,5300,5310,1
53,7275,5310,1
54,12450,5310,0
55,14425,5310,0
56,13710,5625,1
57,13085,5625,1
58,11893,5625,1
59,11268,5625,1
60,6560,5625,0
61,5935,5625,1
62,4743,5625,1
63,4118,5625,0
64,5300,5935,1
65,7275,5935,1
66,12450,5935,1
67,14425,5935,1
68,14425,7065,1
69,12450,7065,1
70,7275,7065,1
71,5300,7065,0
72,4118,7375,0
73,4743,7375,1
74,5935,7375,1
75,6560,7375,1
76,11268,7375,0
77,11893,7375,1
78,13085,7375,0
79,13710,7375,1
80,14425,7690,1
81,12450,7690,1
82,7275,7690,1
83,5300,7690,1
84,3100,7775,0
85,5300,7860,1
86,7275,7860,1
87,10250,7775,0
88,12450,7860,1
89,14425,7860,1
90,13710,8175,0
91,13085,8175,0
92,11893,8175,0
93,11268,8175,1
94,6560,8175,0
95,5935,8175,1
96,4743,8175,1
97,4118,8175,1
98,5300,8485,1
99,7275,8485,1
100,12450,8485,1
101,14425,8485,1
102,14425,9615,1
103,12450,9615,1
104,7275,9615,1
105,5300,9615,0
106,4118,9925,1
107,4743,9925,1
108,5935,9925,1
109,6560,9925,1
110,11268,9925,0
111,11893,9925,1
112,13085,9925,0
113,13710,9925,1
114,14425,10240,1
115,12450,10240,1
116,7275,10240,1
117,5300,10240,1
118,3100,10325,1
119,5300,10410,1
120,7275,10410,1
121,10250,10325,1
122,12450,10410,1
123,14425,10410,1
124,13710,10725,1
125,13085,10725,1
126,11893,10725,1
127,11268,10725,1
128,6560,10725,1
129,5935,10725,1
130,4743,10725,1
131,4118,10725,1
132,14425,11035,1
133,12450,11035,1
134,7275,11035,0
135,5300,11035,1
